Ano;População(SP);Popu/Milhões
1872;31385;0.03
1890;64934;0.06
1900;239820;0.24
1920;579033;0.58
1940;1326261;1.33
1950;2198096;2.20
1960;3825351;3.83
1970;5978977;5.98
1980;8587665;8.59
1991;9626894;9.63
2000;10405867;10.41
2010;11253503;11.25
